from,to,reason
https://nmgtechnologies.com/hs-fs/hubfs/edtech.png.png?width=101&height=100&name=edtech.png.png,https://nmgtechnologies.com/hs-fs/hubfs/edtech.jpg?width=600&height=400&name=edtech.jpg,404 mapped to closest live URL
https://nmgtechnologies.com/hs-fs/hubfs/glob.png.png?width=101&height=100&name=glob.png.png,https://nmgtechnologies.com/hs-fs/hubfs/clutch-global.png.png?width=161&height=138&name=clutch-global.png.png,404 mapped to closest live URL
https://nmgtechnologies.com/hs-fs/hubfs/B-W_icon.png.png?width=101&height=100&name=B-W_icon.png.png,https://nmgtechnologies.com/hs-fs/hubfs/c-icon6.png?width=61&height=61&name=c-icon6.png,404 mapped to closest live URL
https://nmgtechnologies.com/hs-fs/hubfs/fintech.png.png?width=101&height=100&name=fintech.png.png,https://nmgtechnologies.com/hs-fs/hubfs/fintech.jpg?width=600&height=400&name=fintech.jpg,404 mapped to closest live URL
https://nmgtechnologies.com/hs-fs/hubfs/fintechgrey.png?width=122&height=80&name=fintechgrey.png,https://nmgtechnologies.com/hs-fs/hubfs/fintech.jpg?width=600&height=400&name=fintech.jpg,404 mapped to closest live URL
https://nmgtechnologies.com/hs-fs/hubfs/healthgrey.png?width=105&height=90&name=healthgrey.png,https://nmgtechnologies.com/hs-fs/hubfs/healthcare.jpg?width=600&height=400&name=healthcare.jpg,404 mapped to closest live URL
